maker,product_name,url,form,moisture_pct,protein_asfed,protein_dm,fat_dm,phosphorus_asfed,phosphorus_dm,calorie_density_100g,calorie_basis,is_therapeutic,phosphorus_disclosed,fetched_at
いなばペットフード株式会社,CIAO 食塩無添加 かつお節・にぼし入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%8B%E3%81%A4%E3%81%8A%E7%AF%80/3797,ドライ,20.0,65.0,81.2,3.6,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO 食塩無添加 かつお節,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%8B%E3%81%A4%E3%81%8A%E7%AF%80/3796,ドライ,20.0,65.0,81.2,3.6,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～るビッツ まぐろ・ささみバラエティ 15袋入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B%E3%83%93%E3%83%83%E3%83%84/8100,ウェット,72.5,21.0,76.4,15.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～るビッツ 海鮮・ささみバラエティ 30袋入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B%E3%83%93%E3%83%83%E3%83%84/7784,ウェット,72.5,21.0,76.4,15.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO まぐろ血合肉シリーズ まぐろ＆とりささみ チーズ入り,https://www.inaba-petfood.co.jp/product/detail/CIAO/10332,ウェット,82.0,,,8.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO だしスープ 缶 まぐろ・ささみ しらす入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A0%E3%81%97%E3%82%B9%E3%83%BC%E3%83%97/10027,ウェット,94.0,4.0,66.7,3.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO だしスープ 缶 ささみ ほたて貝柱入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A0%E3%81%97%E3%82%B9%E3%83%BC%E3%83%97/10026,ウェット,94.0,4.0,66.7,3.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO だしスープ 缶 かつお・ささみ かつお節入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A0%E3%81%97%E3%82%B9%E3%83%BC%E3%83%97/10025,ウェット,94.0,4.0,66.7,3.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO だしスープ 缶 まぐろ・ささみ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A0%E3%81%97%E3%82%B9%E3%83%BC%E3%83%97/10024,ウェット,94.0,4.0,66.7,3.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る和え カップ とりささみ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%82%AB%E3%83%83%E3%83%97/8238,ウェット,87.5,10.0,80.0,1.6,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る和え カップ かつお,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%82%AB%E3%83%83%E3%83%97/8237,ウェット,87.5,10.0,80.0,1.6,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る和え カップ まぐろ,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%82%AB%E3%83%83%E3%83%97/8236,ウェット,87.5,10.0,80.0,1.6,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO だしスープ このままだしスープ ささみ かにかま・しらす入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%82%AB%E3%83%83%E3%83%97/3014,ウェット,93.0,5.0,71.4,1.4,,,,per_piece,False,no,2026-06-22
