maker,product_name,url,fields_found,has_analysis_section,is_therapeutic,disclosed_crude_protein,disclosed_crude_fat,disclosed_crude_fiber,disclosed_crude_ash,disclosed_moisture,disclosed_calorie,disclosed_phosphorus,disclosed_ingredients,crude_protein_value,crude_fat_value,crude_fiber_value,crude_ash_value,moisture_value,calorie_kcal,phosphorus_value,calcium_value,sodium_value,magnesium_value,ingredients_snippet,fetched_at
日本ペットフード株式会社,ビューティープロ キャット 下部尿路の健康維持 １１歳以上 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bc11f,10,True,True,yes,yes,yes,yes,yes,yes,yes,yes,32.0%,8.5%,4.5%,9.0%,10.0%,350kcal,0.6%,0.7%,,０７５%,表示する 穀類（トウモロコシ、コーングルテンミール、パン粉、小麦粉）、肉類（牛肉粉、豚肉粉）、α化でん粉、油脂類（動物性油脂、植物性油脂）、魚介類（フィッシュパウダー、マリンコラーゲン）、オリゴ糖、乳酸菌加熱菌体、ＧＡＢＡ、コエンザイムＱ１０、ミネラル類（カルシウム、カリウム、ナトリウム、クロライド、銅、亜鉛、ヨウ素）,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット 下部尿路の健康維持 低脂肪 １歳から | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcfl,10,True,True,yes,yes,yes,yes,yes,yes,yes,yes,２０%,8.1%,5.5%,9.0%,10.0%,340kcal,0.7%,0.9%,,０７５%,表示する 穀類（トウモロコシ、コーングルテンミール、パン粉、小麦粉）、肉類（牛肉粉、チキンミール、豚肉粉）、α化でん粉、油脂類（植物性油脂、動物性油脂）、魚介類（フィッシュパウダー、マリンコラーゲン）、オリゴ糖、Ｌ‐カルニチン、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド、銅,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット 下部尿路の健康維持 低脂肪 １歳から チキン味 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcflc,10,True,True,yes,yes,yes,yes,yes,yes,yes,yes,２０%,8.1%,5.5%,9.0%,10.0%,340kcal,0.7%,0.9%,,０７５%,表示する 穀類（トウモロコシ、コーングルテンミール、パン粉、小麦粉）、肉類（牛肉粉、チキンミール、豚肉粉、チキンレバーパウダー）、α化でん粉、油脂類（植物性油脂、動物性油脂）、魚介類（フィッシュパウダー、マリンコラーゲン）、オリゴ糖、Ｌ‐カルニチン、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、リン、カリウム、ナト,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット 腎臓の健康維持 ８歳以上 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bc8k,11,True,True,yes,yes,yes,yes,yes,yes,yes,yes,30.0%,8.5%,4.5%,9.0%,10.0%,350kcal,0.6%,0.7%,0.5%,０９%,表示する 穀類（トウモロコシ、小麦粉、コーングルテンミール、パン粉）、肉類（牛肉粉、豚肉粉）、油脂類（植物性油脂、動物性油脂）、フィッシュパウダー、オリゴ糖、アップルファイバー（セラミド源）、海藻粉末（ＤＨＡ源）、コエンザイムＱ１０、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、カリウム、ナトリウム、クロライド、銅,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット 腎臓の健康維持 １５歳以上 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bc15k,11,True,True,yes,yes,yes,yes,yes,yes,yes,yes,29.0%,10.0%,4.5%,9.0%,10.0%,360kcal,0.6%,0.7%,0.5%,０９%,表示する 穀類（トウモロコシ、小麦粉、コーングルテンミール、パン粉）、肉類（牛肉粉、豚肉粉）、油脂類（植物性油脂、動物性油脂）、フィッシュパウダー、オリゴ糖、海藻粉末（ＤＨＡ源）、アップルファイバー（セラミド源）、コエンザイムＱ１０、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、カリウム、ナトリウム、クロライド、銅,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット Ｗケア 下部尿路・腎臓の健康 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcwfk,11,True,True,yes,yes,yes,yes,yes,yes,yes,yes,１０%,10.0%,4.5%,9.0%,10.0%,360kcal,２５%,２０%,0.5%,０８%,表示する 穀類（トウモロコシ、小麦粉、コーングルテンミール、パン粉）、肉類（牛肉粉、豚肉粉）、油脂類（動物性油脂、植物性油脂）、フィッシュパウダー、オリゴ糖、アップルファイバー（セラミド源）、海藻粉末（ＤＨＡ源）、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、カリウム、ナトリウム、クロライド、銅、亜鉛、ヨウ素）、ア,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット Ｗケア 低脂肪・高たんぱく | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcwlm,10,True,True,yes,yes,yes,yes,yes,yes,yes,yes,５%,8.1%,4.5%,9.0%,10.0%,350kcal,0.7%,0.9%,,０９%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（牛肉粉、チキンミール、豚肉粉）、油脂類（植物性油脂、動物性油脂）、魚介類（フィッシュパウダー、マリンコラーゲン）、オリゴ糖、Ｌ－カルニチン、ＧＡＢＡ、乳酸菌加熱菌体、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド、銅、亜鉛、ヨウ,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット Ｗケア 腸内・自然免疫ケア | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcwci,10,True,True,yes,yes,yes,yes,yes,yes,yes,yes,35.0%,10.0%,4.5%,9.0%,10.0%,360kcal,0.7%,0.9%,,０９%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（牛肉粉、チキンミール、豚肉粉）、油脂類（動物性油脂、植物性油脂）、魚介類（フィッシュパウダー、マリンコラーゲン）、イヌリン、オリゴ糖、ビフィズス菌加熱菌体、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ 離乳期 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp1,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,３%,５%,５%,０%,６%,34kcal,２２%,２８%,,０２%,表示する 魚介類（マグロ、フィッシュエキスパウダー、マリンコラーゲン）、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、大豆タンパク、グラニュー糖、セレン酵母、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キサンタンガム）、ビタミン類（Ａ、Ｂ１、Ｂ２、,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ １歳から まぐろ | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp2,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,０%,５%,５%,０%,６%,29kcal,１４%,１５%,,０２%,表示する 魚介類（マグロ、フィッシュエキスパウダー、マリンコラーゲン）、鶏ササミ、大豆タンパク、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、小麦タンパク、グラニュー糖、セレン酵母、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キサンタンガム）、ビタミン類（Ａ、Ｂ１,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ １歳から かつお | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp3,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,０%,５%,５%,０%,６%,29kcal,１４%,１５%,,０２%,表示する 魚介類（カツオ、フィッシュエキスパウダー、マリンコラーゲン）、鶏ササミ、大豆タンパク、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、小麦タンパク、グラニュー糖、セレン酵母、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キサンタンガム）、ビタミン類（Ａ、Ｂ１,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ １１歳以上 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp4,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,５%,０%,5%,０%,５%,35kcal,１２%,１４%,,０１%,表示する 魚介類（マグロ、フィッシュエキスパウダー、マリンコラーゲン）、鶏ササミ、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、大豆タンパク、コーンスターチ、グラニュー糖、セレン酵母、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キサンタンガム）、ビタミン類（Ａ、Ｂ,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ １５歳以上 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp5,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,０%,１%,5%,０%,５%,35kcal,１２%,１４%,,０１%,表示する 魚介類（マグロ、フィッシュエキスパウダー、マリンコラーゲン）、鶏ササミ、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、大豆タンパク、コーンスターチ、グラニュー糖、セレン酵母、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キサンタンガム）、ビタミン類（Ａ、Ｂ,2026-06-21
日本ペットフード株式会社,ビューティープロ キャット パウチ 介護期用高栄養食 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/bcp6,10,True,False,yes,yes,yes,yes,yes,yes,yes,yes,１１０%,０%,5%,０%,５%,38kcal,１５%,１９%,,０２%,表示する 魚介類（マグロ、フィッシュエキスパウダー、マリンコラーゲン）、鶏ササミ、油脂類（植物性油脂、動物性油脂（ＤＨＡ含む））、糖類（ブドウ糖、グラニュー糖）、大豆タンパク、コーンスターチ、セレン酵母、乳酸菌加熱菌体、ＧＡＢＡ、ミネラル類（Ｃａ、Ｋ、Ｃｌ、Ｍｇ、Ｆｅ、Ｃｕ、Ｍｎ、Ｚｎ、Ⅰ）、増粘安定剤（加工でん粉、キ,2026-06-21
日本ペットフード株式会社,コンボ キャット シーフードアソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccas,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 【まぐろ味カニチップ＆まぐろ節添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、マグロブシ、フィッシュパウダー、魚肉すり身、カニ粉末、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性,2026-06-21
日本ペットフード株式会社,コンボ キャット かつお節入りアソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccak,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 【まぐろ味かつお節＆小魚添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（小魚、フィッシュミール、カツオブシ、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ,2026-06-21
日本ペットフード株式会社,コンボ キャット 下部尿路の健康維持アソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccaf,9,True,True,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,4.5%,9.0%,10.0%,,0.7%,0.9%,,０８%,表示する 【まぐろ味減塩かつお節添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（牛肉粉、豚肉粉、チキンミール）、魚介類（カツオブシ、フィッシュパウダー、フィッシュミール、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、α化でん粉、脱脂大豆、オ,2026-06-21
日本ペットフード株式会社,コンボ キャット 毛玉対応アソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccah,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,28.5%,9.0%,4.5%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 【まぐろ味かつお節＆ささみ味チップ添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉、丸鶏エキス（鶏ササミを含む））、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂,2026-06-21
日本ペットフード株式会社,コンボ キャット １１歳以上 毛玉対応アソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cca11,10,True,False,yes,yes,yes,yes,yes,no,yes,yes,27.5%,8.5%,4.5%,9.0%,10.0%,,0.6%,0.7%,0.5%,１２%,表示する 【かつお味細切りかつおチップ＆かつお節添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、カツオエキス、マグロエキス、小魚粉末、カツオ節粉、シラスパウダー）、油脂類（動物性油,2026-06-21
日本ペットフード株式会社,コンボ キャット １５歳以上 毛玉対応アソート | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cca15,10,True,False,yes,yes,yes,yes,yes,no,yes,yes,27.5%,8.5%,4.5%,9.0%,10.0%,,0.6%,0.7%,0.5%,１２%,表示する 【かつお味やわらか焼きタラチップ＆ちりめん添え】穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、ちりめん、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、焼きタ,2026-06-21
日本ペットフード株式会社,コンボ キャット 子ねこ用 にぼし入りチップ添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccg,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,32.0%,10.5%,2.5%,8.0%,10.0%,,0.8%,1.0%,,0.10%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、フィッシュパウダー、魚肉すり身、にぼし、マグロエキス、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、ビール酵母（β‐グルカン源）、でん粉、大豆タンパク、,2026-06-21
日本ペットフード株式会社,コンボ キャット まぐろ味・カニチップ・まぐろ節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccm,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、マグロブシ、フィッシュパウダー、魚肉すり身、カニ粉末、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、豆類（脱脂大豆、,2026-06-21
日本ペットフード株式会社,コンボ キャット まぐろ味・かつお節・小魚添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cck,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（小魚、フィッシュミール、カツオブシ、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ糖、ハーブ（タイム、ディル、フ,2026-06-21
日本ペットフード株式会社,コンボ キャット かつお味・鮭チップ・かつお節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccs,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、鮭エキス、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、豆類（脱脂大豆、大豆タンパク）,2026-06-21
日本ペットフード株式会社,コンボ キャット まぐろ味・熟成かつお添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccj,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオ加工品（熟成カツオ）、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ糖、ハーブ（タイム、,2026-06-21
日本ペットフード株式会社,コンボ キャット 肥満が気になる猫用 まぐろ味・かつお節・かつおチップ添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccl,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,8.1%,4.5%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、カツオエキス、マグロエキス、小魚粉末、カツオ節粉、シラスパウダー）、油脂類（植物性油脂、動物性油脂）、豆類（脱脂大豆、大豆タンパ,2026-06-21
日本ペットフード株式会社,コンボ キャット 下部尿路の健康維持 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/ccf,9,True,True,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,4.5%,9.0%,10.0%,,0.7%,0.9%,,０８%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（牛肉粉、豚肉粉、チキンミール）、魚介類（カツオブシ、フィッシュパウダー、フィッシュミール、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、α化でん粉、脱脂大豆、オリゴ糖、ハーブ（タイム、ディ,2026-06-21
日本ペットフード株式会社,コンボ キャット 腎臓の健康維持 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cckd,10,True,True,yes,yes,yes,yes,yes,no,yes,yes,26.5%,9.5%,4.5%,9.0%,10.0%,,0.6%,0.75%,0.5%,０８%,表示する 穀類（トウモロコシ、小麦粉、コーングルテンミール、パン粉）、肉類（牛肉粉、豚肉粉）、魚介類（フィッシュミール、フィッシュパウダー、カツオブシ、マグロブシ、マグロエキス、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、海藻粉末（ＤＨＡ源）、オリゴ糖、ミネラル類（カルシウム、カリウム、ナトリウム,2026-06-21
日本ペットフード株式会社,コンボ キャット 毛玉対応 まぐろ味・ささみ味チップ・かつお節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cchc,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,28.5%,9.0%,4.5%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉、丸鶏エキス（鶏ササミを含む））、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、豆類（脱脂,2026-06-21
日本ペットフード株式会社,コンボ キャット 毛玉対応 かつお味・まぐろ節・かつお節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cch,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,28.5%,9.0%,4.5%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、フィッシュパウダー、マグロブシ、カツオブシ、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ糖、ハーブ（タイム、ディ,2026-06-21
日本ペットフード株式会社,コンボ キャット 毛玉対応１１歳以上 かつお味・かつおチップ・かつお節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cch11,10,True,False,yes,yes,yes,yes,yes,no,yes,yes,27.5%,8.5%,4.5%,9.0%,10.0%,,0.6%,0.7%,0.5%,0.12%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、カツオエキス、マグロエキス、小魚粉末、カツオ節粉、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、でん粉、豆類（脱脂大豆、大,2026-06-21
日本ペットフード株式会社,コンボ キャット 毛玉対応１５歳以上 かつお味・焼きタラチップ・ちりめん添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cch15,10,True,False,yes,yes,yes,yes,yes,no,yes,yes,27.5%,8.5%,4.5%,9.0%,10.0%,,0.6%,0.7%,0.5%,0.12%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、ちりめん、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、焼きタラチップ、脱脂大豆、オリゴ糖、ハーブ（タイム、デ,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 子ねこ用 にぼし入りチップ添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpg,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,32.0%,10.5%,2.5%,8.0%,10.0%,,0.8%,1.0%,,0.10%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、フィッシュパウダー、魚肉すり身、にぼし、マグロエキス、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、ビール酵母（β‐グルカン源）、でん粉、大豆タンパク、,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 海の味わいメニュー カニチップ添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpsc,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉、小麦タンパク）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、マグロブシ、フィッシュパウダー、魚肉すり身、カニ粉末、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、豆類（脱脂大豆、,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 海の味わいメニュー かつお節添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpsk,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（小魚、フィッシュミール、カツオブシ、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ糖、ハーブ（タイム、ディル、フ,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 海の味わいメニュー 鮭チップ添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpss,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオブシ、フィッシュパウダー、魚肉すり身、鮭エキス、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、豆類（脱脂大豆、大豆タンパク）,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 海の味わいメニュー 熟成かつお添え | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpjk,9,True,False,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,3.0%,9.0%,10.0%,,0.8%,0.9%,,１２%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（チキンミール、牛肉粉、豚肉粉）、魚介類（フィッシュミール、カツオ加工品（熟成カツオ）、フィッシュパウダー、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、脱脂大豆、オリゴ糖、ハーブ（タイム、,2026-06-21
日本ペットフード株式会社,コンボ キャット 連パック 下部尿路の健康維持 | 日本ペットフード株式会社,https://www.npf.co.jp/cat-products/cat-detail/cpf,9,True,True,yes,yes,yes,yes,yes,no,yes,yes,29.0%,9.0%,4.5%,9.0%,10.0%,,0.7%,0.9%,,０８%,表示する 穀類（トウモロコシ、コーングルテンミール、小麦粉、パン粉）、肉類（牛肉粉、豚肉粉、チキンミール）、魚介類（カツオブシ、フィッシュパウダー、フィッシュミール、マグロエキス、小魚粉末、カツオ節粉、カツオエキス、シラスパウダー）、油脂類（動物性油脂、植物性油脂）、α化でん粉、脱脂大豆、オリゴ糖、ハーブ（タイム、ディ,2026-06-21
